"iteration";"SVM.kernel_gamma";"SVM.C";"SVM.kernel_type";"accuracy"
34.0;0.01;0.9999999999999998;"radial";0.9461538461538461
1.0;0.01;0.001;"radial";0.7512820512820513
35.0;0.018616455666360693;0.9999999999999998;"radial";0.9461538461538461
17.0;0.223606797749979;0.010000000000000002;"radial";0.7512820512820513
2.0;0.018616455666360693;0.001;"radial";0.7512820512820513
36.0;0.034657242157757326;0.9999999999999998;"radial";0.9512820512820512
3.0;0.034657242157757326;0.001;"radial";0.7512820512820513
4.0;0.0645195012148216;0.001;"radial";0.7512820512820513
37.0;0.0645195012148216;0.9999999999999998;"radial";0.9512820512820512
5.0;0.12011244339814313;0.001;"radial";0.7512820512820513
18.0;0.4162766037009365;0.010000000000000002;"radial";0.7512820512820513
6.0;0.223606797749979;0.001;"radial";0.7512820512820513
7.0;0.4162766037009365;0.001;"radial";0.7512820512820513
38.0;0.12011244339814313;0.9999999999999998;"radial";0.9153846153846155
83.0;0.223606797749979;0.010000000000000002;"anova";0.9384615384615385
8.0;0.7749594937741684;0.001;"radial";0.7512820512820513
67.0;0.01;0.001;"anova";0.7512820512820513
19.0;0.7749594937741684;0.010000000000000002;"radial";0.7512820512820513
100.0;0.01;0.9999999999999998;"anova";0.9282051282051282
9.0;1.4426999059072139;0.001;"radial";0.7512820512820513
75.0;1.4426999059072139;0.001;"anova";0.9512820512820515
10.0;2.685795883818439;0.001;"radial";0.7512820512820513
11.0;5.0;0.001;"radial";0.7512820512820513
39.0;0.223606797749979;0.9999999999999998;"radial";0.8051282051282052
20.0;1.4426999059072139;0.010000000000000002;"radial";0.7512820512820513
12.0;0.01;0.010000000000000002;"radial";0.7512820512820513
13.0;0.018616455666360693;0.010000000000000002;"radial";0.7512820512820513
14.0;0.034657242157757326;0.010000000000000002;"radial";0.7512820512820513
40.0;0.4162766037009365;0.9999999999999998;"radial";0.7512820512820513
21.0;2.685795883818439;0.010000000000000002;"radial";0.7512820512820513
15.0;0.0645195012148216;0.010000000000000002;"radial";0.7512820512820513
68.0;0.018616455666360693;0.001;"anova";0.7717948717948717
16.0;0.12011244339814313;0.010000000000000002;"radial";0.7512820512820513
84.0;0.4162766037009365;0.010000000000000002;"anova";0.9589743589743591
41.0;0.7749594937741684;0.9999999999999998;"radial";0.7512820512820513
22.0;5.0;0.010000000000000002;"radial";0.7512820512820513
23.0;0.01;0.10000000000000003;"radial";0.7897435897435897
76.0;2.685795883818439;0.001;"anova";0.9512820512820512
24.0;0.018616455666360693;0.10000000000000003;"radial";0.8512820512820513
25.0;0.034657242157757326;0.10000000000000003;"radial";0.8615384615384615
42.0;1.4426999059072139;0.9999999999999998;"radial";0.7512820512820513
101.0;0.018616455666360693;0.9999999999999998;"anova";0.9358974358974359
26.0;0.0645195012148216;0.10000000000000003;"radial";0.7743589743589744
71.0;0.12011244339814313;0.001;"anova";0.9307692307692308
27.0;0.12011244339814313;0.10000000000000003;"radial";0.7512820512820513
69.0;0.034657242157757326;0.001;"anova";0.8641025641025643
43.0;2.685795883818439;0.9999999999999998;"radial";0.7512820512820513
28.0;0.223606797749979;0.10000000000000003;"radial";0.7512820512820513
44.0;5.0;0.9999999999999998;"radial";0.7512820512820513
102.0;0.034657242157757326;0.9999999999999998;"anova";0.941025641025641
72.0;0.223606797749979;0.001;"anova";0.9358974358974359
29.0;0.4162766037009365;0.10000000000000003;"radial";0.7512820512820513
45.0;0.01;10.000000000000005;"radial";0.9512820512820515
77.0;5.0;0.001;"anova";0.9410256410256412
70.0;0.0645195012148216;0.001;"anova";0.9025641025641026
85.0;0.7749594937741684;0.010000000000000002;"anova";0.941025641025641
46.0;0.018616455666360693;10.000000000000005;"radial";0.9564102564102563
30.0;0.7749594937741684;0.10000000000000003;"radial";0.7512820512820513
47.0;0.034657242157757326;10.000000000000005;"radial";0.953846153846154
48.0;0.0645195012148216;10.000000000000005;"radial";0.9461538461538461
31.0;1.4426999059072139;0.10000000000000003;"radial";0.7512820512820513
73.0;0.4162766037009365;0.001;"anova";0.9461538461538461
78.0;0.01;0.010000000000000002;"anova";0.8948717948717949
103.0;0.0645195012148216;0.9999999999999998;"anova";0.9282051282051282
49.0;0.12011244339814313;10.000000000000005;"radial";0.9205128205128206
116.0;0.223606797749979;10.000000000000005;"anova";0.9333333333333333
32.0;2.685795883818439;0.10000000000000003;"radial";0.7512820512820513
50.0;0.223606797749979;10.000000000000005;"radial";0.8230769230769232
79.0;0.018616455666360693;0.010000000000000002;"anova";0.9358974358974359
51.0;0.4162766037009365;10.000000000000005;"radial";0.7538461538461538
33.0;5.0;0.10000000000000003;"radial";0.7512820512820513
52.0;0.7749594937741684;10.000000000000005;"radial";0.7512820512820513
74.0;0.7749594937741684;0.001;"anova";0.9487179487179487
104.0;0.12011244339814313;0.9999999999999998;"anova";0.9153846153846155
53.0;1.4426999059072139;10.000000000000005;"radial";0.7512820512820513
86.0;1.4426999059072139;0.010000000000000002;"anova";0.9461538461538461
80.0;0.034657242157757326;0.010000000000000002;"anova";0.9461538461538461
117.0;0.4162766037009365;10.000000000000005;"anova";0.941025641025641
54.0;2.685795883818439;10.000000000000005;"radial";0.7512820512820513
58.0;0.034657242157757326;100.0;"radial";0.9487179487179487
55.0;5.0;10.000000000000005;"radial";0.7512820512820513
59.0;0.0645195012148216;100.0;"radial";0.9487179487179487
56.0;0.01;100.0;"radial";0.9512820512820515
60.0;0.12011244339814313;100.0;"radial";0.9230769230769231
105.0;0.223606797749979;0.9999999999999998;"anova";0.9358974358974359
57.0;0.018616455666360693;100.0;"radial";0.9538461538461538
81.0;0.0645195012148216;0.010000000000000002;"anova";0.9538461538461538
61.0;0.223606797749979;100.0;"radial";0.8179487179487179
108.0;1.4426999059072139;0.9999999999999998;"anova";0.953846153846154
62.0;0.4162766037009365;100.0;"radial";0.7538461538461538
63.0;0.7749594937741684;100.0;"radial";0.7512820512820513
118.0;0.7749594937741684;10.000000000000005;"anova";0.9512820512820512
82.0;0.12011244339814313;0.010000000000000002;"anova";0.9512820512820512
64.0;1.4426999059072139;100.0;"radial";0.7512820512820513
106.0;0.4162766037009365;0.9999999999999998;"anova";0.9358974358974359
65.0;2.685795883818439;100.0;"radial";0.7512820512820513
66.0;5.0;100.0;"radial";0.7512820512820513
112.0;0.018616455666360693;10.000000000000005;"anova";0.9435897435897436
87.0;2.685795883818439;0.010000000000000002;"anova";0.9564102564102563
114.0;0.0645195012148216;10.000000000000005;"anova";0.9256410256410257
113.0;0.034657242157757326;10.000000000000005;"anova";0.9358974358974359
119.0;1.4426999059072139;10.000000000000005;"anova";0.9512820512820512
107.0;0.7749594937741684;0.9999999999999998;"anova";0.9435897435897436
109.0;2.685795883818439;0.9999999999999998;"anova";0.9512820512820512
115.0;0.12011244339814313;10.000000000000005;"anova";0.9358974358974359
124.0;0.034657242157757326;100.0;"anova";0.9358974358974359
110.0;5.0;0.9999999999999998;"anova";0.953846153846154
88.0;5.0;0.010000000000000002;"anova";0.9512820512820515
122.0;0.01;100.0;"anova";0.9384615384615385
123.0;0.018616455666360693;100.0;"anova";0.941025641025641
125.0;0.0645195012148216;100.0;"anova";0.9358974358974359
120.0;2.685795883818439;10.000000000000005;"anova";0.9461538461538463
111.0;0.01;10.000000000000005;"anova";0.9487179487179487
89.0;0.01;0.10000000000000003;"anova";0.9564102564102566
121.0;5.0;10.000000000000005;"anova";0.9564102564102563
127.0;0.223606797749979;100.0;"anova";0.9307692307692308
126.0;0.12011244339814313;100.0;"anova";0.917948717948718
128.0;0.4162766037009365;100.0;"anova";0.9512820512820512
90.0;0.018616455666360693;0.10000000000000003;"anova";0.9384615384615385
91.0;0.034657242157757326;0.10000000000000003;"anova";0.9358974358974359
93.0;0.12011244339814313;0.10000000000000003;"anova";0.9538461538461538
96.0;0.7749594937741684;0.10000000000000003;"anova";0.9307692307692308
95.0;0.4162766037009365;0.10000000000000003;"anova";0.9512820512820512
129.0;0.7749594937741684;100.0;"anova";0.953846153846154
97.0;1.4426999059072139;0.10000000000000003;"anova";0.9512820512820512
94.0;0.223606797749979;0.10000000000000003;"anova";0.9256410256410257
92.0;0.0645195012148216;0.10000000000000003;"anova";0.9358974358974359
98.0;2.685795883818439;0.10000000000000003;"anova";0.9512820512820512
99.0;5.0;0.10000000000000003;"anova";0.953846153846154
130.0;1.4426999059072139;100.0;"anova";0.9512820512820512
131.0;2.685795883818439;100.0;"anova";0.9538461538461538
132.0;5.0;100.0;"anova";0.9564102564102563
